date,x1,x2,x3,x4,x5,x6,location
9/24/2020,24,38,2,1,2,26,8
9/23/2020,32,33,2,1,2,26,8
9/22/2020,56,33,4,1,2,32,8
9/21/2020,64,36,5,0,2,52,8
9/20/2020,63,34,5,1,3,48,8
9/19/2020,65,60,3,0,3,56,8
9/18/2020,59,42,3,0,3,60,8
9/17/2020,61,61,5,0,3,64,8
9/16/2020,59,32,4,1,2,56,8
9/15/2020,85,38,3,1,3,58,8
9/14/2020,70,80,3,1,3,80,8
9/13/2020,24,71,5,1,3,62,8
9/12/2020,34,34,1,1,2,22,8
9/11/2020,65,33,2,1,2,24,8
9/10/2020,72,31,4,1,3,52,8
9/9/2020,66,69,3,1,3,50,8
9/8/2020,81,73,3,1,4,56,8
9/7/2020,17,26,6,1,5,72,8
9/6/2020,54,47,1,1,0,16,8
9/5/2020,75,38,3,1,3,44,8
9/4/2020,67,38,6,0,4,64,8
9/3/2020,41,75,2,0,3,68,8
9/2/2020,22,59,1,1,1,38,8
9/1/2020,24,20,3,0,0,24,8
8/31/2020,16,37,2,0,2,30,8
8/30/2020,22,32,2,0,3,30,8
8/29/2020,23,35,1,1,2,28,8
8/28/2020,54,35,2,1,3,24,8
8/27/2020,30,48,4,0,2,46,8
8/26/2020,52,36,3,1,2,38,8
8/25/2020,77,34,5,1,1,44,8
8/24/2020,71,46,4,1,1,56,8
8/23/2020,56,58,5,1,1,56,8
8/22/2020,63,51,2,1,0,38,8
8/21/2020,98,32,4,1,1,50,8
8/20/2020,106,87,5,1,1,82,8
8/19/2020,124,76,7,1,1,88,8
8/18/2020,96,72,7,1,2,102,8
8/17/2020,66,63,6,1,2,78,8
8/16/2020,53,42,3,1,1,54,8
8/15/2020,86,27,2,1,1,46,8
8/14/2020,63,43,4,0,1,78,8
8/13/2020,42,48,3,0,1,62,8
8/12/2020,40,44,3,0,2,50,8
8/11/2020,42,25,4,1,0,38,8
8/10/2020,29,32,3,1,0,30,8
8/9/2020,25,13,3,1,1,28,8
8/8/2020,30,15,2,1,1,26,8
8/7/2020,48,16,4,1,2,36,8
8/6/2020,35,19,4,1,1,56,8
8/5/2020,49,30,2,1,1,38,8
8/4/2020,65,9,2,1,1,56,8
8/3/2020,42,19,2,1,1,58,8
8/2/2020,26,28,2,1,1,36,8
8/1/2020,55,23,1,1,0,24,8
7/31/2020,69,24,3,0,1,48,8
7/30/2020,42,42,4,1,1,70,8
7/29/2020,27,23,2,1,1,34,8
7/28/2020,41,22,3,1,1,26,8
7/27/2020,64,30,4,1,1,30,8
7/26/2020,40,40,4,1,2,60,8
7/25/2020,23,41,2,1,2,32,8
7/24/2020,27,25,1,1,1,16,8
7/23/2020,35,37,2,1,1,14,8
7/22/2020,65,37,3,1,1,22,8
7/21/2020,73,36,9,1,3,50,8
7/20/2020,47,51,3,1,2,58,8
7/19/2020,62,26,3,1,1,34,8
7/18/2020,75,30,3,0,2,46,8
7/17/2020,106,48,5,1,2,62,8
7/16/2020,80,77,6,1,2,92,8
7/15/2020,39,90,6,1,2,64,8
7/14/2020,27,38,3,1,2,22,8
7/13/2020,26,27,2,1,0,16,8
7/12/2020,41,31,2,1,1,12,8
7/11/2020,25,28,3,0,1,26,8
7/10/2020,50,39,4,0,1,16,8
